Key,Id,English(en)
Player.Companion.DisplayString,,{0} lvl. {1}
Player.Companion.ComingSoon,"tag added for companions that are not yet implemented",(coming soon)
Player.Companion.Negotiator.BetterPrices,,{0} better prices
Player.Companion.Negotiator.UpgradeCostReduction,,{0} reduction of caravan upgrade costs
Player.Companion.Thief.Steals,,Steals {0} coin when entering town
Player.Companion.Thief.CaughtChance,,{0} chance of getting caught
Player.Companion.Thief.ReputationLoss,,{0} reputation lost when being caught
Player.Companion.Guard.Strength,,{0} combat strength
Player.Companion.Diplomat.TownReputation,,Gain {0} reputation when entering town
Player.Companion.Diplomat.ReputationBoost,,{0} bonus for all reputation gains
Player.Companion.Navigator.ShorterTravel,,{0} shorter travel times
Player.Companion.Navigator.LowerUpkeep,,{0} lower upkeep
Player.Companion.Architect.CostReduction,,{0} reduction to costs of production buildings
Player.Caravan.Waggon,"shown in the caravan/inventory ui above each cart, e.g. Cart 2",Cart {0}
